date,country,daily
1/22/20,Australia,0
1/23/20,Australia,0
1/24/20,Australia,0
1/25/20,Australia,0
1/26/20,Australia,0
1/27/20,Australia,0
1/28/20,Australia,0
1/29/20,Australia,0
1/30/20,Australia,0
1/31/20,Australia,0
2/1/20,Australia,0
2/2/20,Australia,0
2/3/20,Australia,0
2/4/20,Australia,0
2/5/20,Australia,0
2/6/20,Australia,0
2/7/20,Australia,0
2/8/20,Australia,0
2/9/20,Australia,0
2/10/20,Australia,0
2/11/20,Australia,0
2/12/20,Australia,0
2/13/20,Australia,0
2/14/20,Australia,0
2/15/20,Australia,0
2/16/20,Australia,0
2/17/20,Australia,0
2/18/20,Australia,0
2/19/20,Australia,0
2/20/20,Australia,0
2/21/20,Australia,0
2/22/20,Australia,0
2/23/20,Australia,0
2/24/20,Australia,0
2/25/20,Australia,0
2/26/20,Australia,0
2/27/20,Australia,0
2/28/20,Australia,0
2/29/20,Australia,0
3/1/20,Australia,1
3/2/20,Australia,0
3/3/20,Australia,0
3/4/20,Australia,1
3/5/20,Australia,0
3/6/20,Australia,0
3/7/20,Australia,0
3/8/20,Australia,1
3/9/20,Australia,0
3/10/20,Australia,0
3/11/20,Australia,0
3/12/20,Australia,0
3/13/20,Australia,0
3/14/20,Australia,0
3/15/20,Australia,0
3/16/20,Australia,0
3/17/20,Australia,2
3/18/20,Australia,1
3/19/20,Australia,0
3/20/20,Australia,1
3/21/20,Australia,0
3/22/20,Australia,0
3/23/20,Australia,0
3/24/20,Australia,1
3/25/20,Australia,0
3/26/20,Australia,5
3/27/20,Australia,0
3/28/20,Australia,1
3/29/20,Australia,2
3/30/20,Australia,1
3/31/20,Australia,1
4/1/20,Australia,2
4/2/20,Australia,4
4/3/20,Australia,4
4/4/20,Australia,2
4/5/20,Australia,5
4/6/20,Australia,5
4/7/20,Australia,5
4/8/20,Australia,5
4/9/20,Australia,1
4/10/20,Australia,3
4/11/20,Australia,3
4/12/20,Australia,3
4/13/20,Australia,1
4/14/20,Australia,1
4/15/20,Australia,1
4/16/20,Australia,0
4/17/20,Australia,3
4/18/20,Australia,1
4/19/20,Australia,0
4/20/20,Australia,0
4/21/20,Australia,0
4/22/20,Australia,0
4/23/20,Australia,8
4/24/20,Australia,4
4/25/20,Australia,1
4/26/20,Australia,3
4/27/20,Australia,0
4/28/20,Australia,6
4/29/20,Australia,2
4/30/20,Australia,2
5/1/20,Australia,0
5/2/20,Australia,1
5/3/20,Australia,1
5/4/20,Australia,1
5/5/20,Australia,1
5/6/20,Australia,0
5/7/20,Australia,0
5/8/20,Australia,0
5/9/20,Australia,0
5/10/20,Australia,0
5/11/20,Australia,0
5/12/20,Australia,1
5/13/20,Australia,0
5/14/20,Australia,0
5/15/20,Australia,0
5/16/20,Australia,0
5/17/20,Australia,1
5/18/20,Australia,0
5/19/20,Australia,1
5/20/20,Australia,0
5/21/20,Australia,1
5/22/20,Australia,0
5/23/20,Australia,1
5/24/20,Australia,0
5/25/20,Australia,0
5/26/20,Australia,1
5/27/20,Australia,0
5/28/20,Australia,0
5/29/20,Australia,0
5/30/20,Australia,0
5/31/20,Australia,0
6/1/20,Australia,-1
6/2/20,Australia,0
6/3/20,Australia,0
6/4/20,Australia,0
6/5/20,Australia,0
6/6/20,Australia,0
6/7/20,Australia,0
6/8/20,Australia,0
6/9/20,Australia,0
6/10/20,Australia,0
6/11/20,Australia,0
6/12/20,Australia,0
6/13/20,Australia,0
6/14/20,Australia,0
6/15/20,Australia,0
6/16/20,Australia,0
6/17/20,Australia,0
6/18/20,Australia,0
6/19/20,Australia,0
6/20/20,Australia,0
6/21/20,Australia,0
6/22/20,Australia,0
6/23/20,Australia,1
6/24/20,Australia,1
6/25/20,Australia,0
6/26/20,Australia,0
6/27/20,Australia,0
6/28/20,Australia,0
6/29/20,Australia,0
6/30/20,Australia,0
7/1/20,Australia,0
7/2/20,Australia,0
7/3/20,Australia,0
7/4/20,Australia,0
7/5/20,Australia,2
7/6/20,Australia,0
7/7/20,Australia,0
7/8/20,Australia,0
7/9/20,Australia,0
7/10/20,Australia,1
7/11/20,Australia,1
7/12/20,Australia,0
7/13/20,Australia,0
7/14/20,Australia,3
7/15/20,Australia,2
7/16/20,Australia,3
7/17/20,Australia,2
7/18/20,Australia,4
7/19/20,Australia,1
7/20/20,Australia,3
7/21/20,Australia,2
7/22/20,Australia,5
7/23/20,Australia,6
