date,country,daily case,daily deaths,life lost
1/22/20,Australia,0,0,0
1/23/20,Australia,0,0,0
1/24/20,Australia,0,0,0
1/25/20,Australia,0,0,0
1/26/20,Australia,4,0,0
1/27/20,Australia,1,0,0
1/28/20,Australia,0,0,0
1/29/20,Australia,1,0,0
1/30/20,Australia,3,0,0
1/31/20,Australia,0,0,0
2/1/20,Australia,3,0,0
2/2/20,Australia,0,0,0
2/3/20,Australia,0,0,0
2/4/20,Australia,1,0,0
2/5/20,Australia,0,0,0
2/6/20,Australia,1,0,0
2/7/20,Australia,1,0,0
2/8/20,Australia,0,0,0
2/9/20,Australia,0,0,0
2/10/20,Australia,0,0,0
2/11/20,Australia,0,0,0
2/12/20,Australia,0,0,0
2/13/20,Australia,0,0,0
2/14/20,Australia,0,0,0
2/15/20,Australia,0,0,0
2/16/20,Australia,0,0,0
2/17/20,Australia,0,0,0
2/18/20,Australia,0,0,0
2/19/20,Australia,0,0,0
2/20/20,Australia,0,0,0
2/21/20,Australia,0,0,0
2/22/20,Australia,0,0,0
2/23/20,Australia,0,0,0
2/24/20,Australia,0,0,0
2/25/20,Australia,0,0,0
2/26/20,Australia,0,0,0
2/27/20,Australia,0,0,0
2/28/20,Australia,0,0,0
2/29/20,Australia,10,0,0
3/1/20,Australia,2,1,-1
3/2/20,Australia,3,0,0
3/3/20,Australia,9,0,0
3/4/20,Australia,13,1,-1
3/5/20,Australia,3,0,0
3/6/20,Australia,5,0,0
3/7/20,Australia,3,0,0
3/8/20,Australia,13,1,-1
3/9/20,Australia,15,0,0
3/10/20,Australia,16,0,0
3/11/20,Australia,21,0,0
3/12/20,Australia,0,0,0
3/13/20,Australia,72,0,0
3/14/20,Australia,50,0,0
3/15/20,Australia,47,0,0
3/16/20,Australia,80,0,0
3/17/20,Australia,75,2,-2
3/18/20,Australia,116,1,-1
3/19/20,Australia,113,0,0
3/20/20,Australia,110,1,-1
3/21/20,Australia,280,0,0
3/22/20,Australia,478,0,0
3/23/20,Australia,133,0,0
3/24/20,Australia,362,1,-1
3/25/20,Australia,320,0,0
3/26/20,Australia,446,5,-5
3/27/20,Australia,333,0,0
3/28/20,Australia,497,1,-1
3/29/20,Australia,344,2,-2
3/30/20,Australia,377,1,-1
3/31/20,Australia,198,1,-1
4/1/20,Australia,303,2,-2
4/2/20,Australia,254,4,-4
4/3/20,Australia,214,4,-4
4/4/20,Australia,220,2,-2
4/5/20,Australia,137,5,-5
4/6/20,Australia,110,5,-5
4/7/20,Australia,98,5,-5
4/8/20,Australia,115,5,-5
4/9/20,Australia,98,1,-1
4/10/20,Australia,107,3,-3
4/11/20,Australia,88,3,-3
4/12/20,Australia,12,3,-3
4/13/20,Australia,36,1,-1
4/14/20,Australia,64,1,-1
4/15/20,Australia,25,1,-1
4/16/20,Australia,22,0,0
4/17/20,Australia,60,3,-3
4/18/20,Australia,46,1,-1
4/19/20,Australia,42,0,0
4/20/20,Australia,13,0,0
4/21/20,Australia,22,0,0
4/22/20,Australia,7,0,0
4/23/20,Australia,10,8,-8
4/24/20,Australia,15,4,-4
4/25/20,Australia,17,1,-1
4/26/20,Australia,20,3,-3
4/27/20,Australia,7,0,0
4/28/20,Australia,23,6,-6
4/29/20,Australia,8,2,-2
4/30/20,Australia,14,2,-2
5/1/20,Australia,12,0,0
5/2/20,Australia,21,1,-1
5/3/20,Australia,23,1,-1
5/4/20,Australia,25,1,-1
5/5/20,Australia,28,1,-1
5/6/20,Australia,19,0,0
5/7/20,Australia,19,0,0
5/8/20,Australia,5,0,0
5/9/20,Australia,21,0,0
5/10/20,Australia,9,0,0
5/11/20,Australia,22,0,0
5/12/20,Australia,10,1,-1
5/13/20,Australia,9,0,0
5/14/20,Australia,30,0,0
5/15/20,Australia,16,0,0
5/16/20,Australia,9,0,0
5/17/20,Australia,10,1,-1
5/18/20,Australia,14,0,0
5/19/20,Australia,4,1,-1
5/20/20,Australia,9,0,0
5/21/20,Australia,14,1,-1
5/22/20,Australia,4,0,0
5/23/20,Australia,15,1,-1
5/24/20,Australia,0,0,0
5/25/20,Australia,12,0,0
5/26/20,Australia,13,1,-1
5/27/20,Australia,11,0,0
5/28/20,Australia,15,0,0
5/29/20,Australia,19,0,0
5/30/20,Australia,8,0,0
5/31/20,Australia,10,0,0
6/1/20,Australia,19,0,0
6/2/20,Australia,8,0,0
6/3/20,Australia,11,0,0
6/4/20,Australia,7,0,0
6/5/20,Australia,5,0,0
6/6/20,Australia,7,0,0
6/7/20,Australia,6,0,0
6/8/20,Australia,2,0,0
6/9/20,Australia,7,0,0
6/10/20,Australia,11,0,0
6/11/20,Australia,4,0,0
6/12/20,Australia,5,0,0
6/13/20,Australia,26,0,0
6/14/20,Australia,15,0,0
6/15/20,Australia,12,0,0
6/16/20,Australia,23,0,0
6/17/20,Australia,21,0,0
6/18/20,Australia,18,0,0
6/19/20,Australia,2,0,0
6/20/20,Australia,50,0,0
6/21/20,Australia,13,0,0
6/22/20,Australia,18,0,0
6/23/20,Australia,29,1,-1
6/24/20,Australia,37,1,-1
6/25/20,Australia,37,0,0
6/26/20,Australia,6,0,0
6/27/20,Australia,85,0,0
6/28/20,Australia,78,0,0
6/29/20,Australia,70,0,0
6/30/20,Australia,86,0,0
7/1/20,Australia,81,0,0
7/2/20,Australia,65,0,0
7/3/20,Australia,194,0,0
7/4/20,Australia,183,0,0
7/5/20,Australia,140,2,-2
7/6/20,Australia,172,0,0
7/7/20,Australia,131,0,0
7/8/20,Australia,170,0,0
7/9/20,Australia,318,0,0
7/10/20,Australia,179,1,-1
7/11/20,Australia,244,1,-1
7/12/20,Australia,183,0,0
7/13/20,Australia,271,0,0
7/14/20,Australia,236,3,-3
7/15/20,Australia,323,2,-2
7/16/20,Australia,423,3,-3
7/17/20,Australia,208,2,-2
7/18/20,Australia,361,4,-4
7/19/20,Australia,267,1,-1
7/20/20,Australia,359,3,-3
7/21/20,Australia,466,2,-2
7/22/20,Australia,408,5,-5
7/23/20,Australia,293,6,-6
7/24/20,Australia,355,6,-6
7/25/20,Australia,453,10,-10
7/26/20,Australia,532,6,-6
7/27/20,Australia,368,6,-6
7/28/20,Australia,279,9,-9
7/29/20,Australia,716,13,-13
7/30/20,Australia,605,7,-7
7/31/20,Australia,377,5,-5
8/1/20,Australia,615,7,-7
8/2/20,Australia,423,13,-13
