date,country,daily case
1/22/20,Australia,0
1/23/20,Australia,0
1/24/20,Australia,0
1/25/20,Australia,0
1/26/20,Australia,4
1/27/20,Australia,1
1/28/20,Australia,0
1/29/20,Australia,1
1/30/20,Australia,3
1/31/20,Australia,0
2/1/20,Australia,3
2/2/20,Australia,0
2/3/20,Australia,0
2/4/20,Australia,1
2/5/20,Australia,0
2/6/20,Australia,1
2/7/20,Australia,1
2/8/20,Australia,0
2/9/20,Australia,0
2/10/20,Australia,0
2/11/20,Australia,0
2/12/20,Australia,0
2/13/20,Australia,0
2/14/20,Australia,0
2/15/20,Australia,0
2/16/20,Australia,0
2/17/20,Australia,0
2/18/20,Australia,0
2/19/20,Australia,0
2/20/20,Australia,0
2/21/20,Australia,0
2/22/20,Australia,0
2/23/20,Australia,0
2/24/20,Australia,0
2/25/20,Australia,0
2/26/20,Australia,0
2/27/20,Australia,0
2/28/20,Australia,0
2/29/20,Australia,10
3/1/20,Australia,2
3/2/20,Australia,3
3/3/20,Australia,9
3/4/20,Australia,13
3/5/20,Australia,3
3/6/20,Australia,5
3/7/20,Australia,3
3/8/20,Australia,13
3/9/20,Australia,15
3/10/20,Australia,16
3/11/20,Australia,21
3/12/20,Australia,0
3/13/20,Australia,72
3/14/20,Australia,50
3/15/20,Australia,47
3/16/20,Australia,80
3/17/20,Australia,75
3/18/20,Australia,116
3/19/20,Australia,113
3/20/20,Australia,110
3/21/20,Australia,280
3/22/20,Australia,478
3/23/20,Australia,133
3/24/20,Australia,362
3/25/20,Australia,320
3/26/20,Australia,446
3/27/20,Australia,333
3/28/20,Australia,497
3/29/20,Australia,344
3/30/20,Australia,377
3/31/20,Australia,198
4/1/20,Australia,303
4/2/20,Australia,254
4/3/20,Australia,214
4/4/20,Australia,220
4/5/20,Australia,137
4/6/20,Australia,110
4/7/20,Australia,98
4/8/20,Australia,115
4/9/20,Australia,98
4/10/20,Australia,107
4/11/20,Australia,88
4/12/20,Australia,12
4/13/20,Australia,36
4/14/20,Australia,64
4/15/20,Australia,25
4/16/20,Australia,22
4/17/20,Australia,60
4/18/20,Australia,46
4/19/20,Australia,42
4/20/20,Australia,13
4/21/20,Australia,22
4/22/20,Australia,7
4/23/20,Australia,10
4/24/20,Australia,15
4/25/20,Australia,17
4/26/20,Australia,20
4/27/20,Australia,7
4/28/20,Australia,23
4/29/20,Australia,8
4/30/20,Australia,14
5/1/20,Australia,12
5/2/20,Australia,21
5/3/20,Australia,23
5/4/20,Australia,25
5/5/20,Australia,28
5/6/20,Australia,19
5/7/20,Australia,19
5/8/20,Australia,5
5/9/20,Australia,21
5/10/20,Australia,9
5/11/20,Australia,22
5/12/20,Australia,10
5/13/20,Australia,9
5/14/20,Australia,30
5/15/20,Australia,16
5/16/20,Australia,9
5/17/20,Australia,10
5/18/20,Australia,14
5/19/20,Australia,4
5/20/20,Australia,9
5/21/20,Australia,14
5/22/20,Australia,4
5/23/20,Australia,15
5/24/20,Australia,0
5/25/20,Australia,12
5/26/20,Australia,13
5/27/20,Australia,11
5/28/20,Australia,15
5/29/20,Australia,19
5/30/20,Australia,8
5/31/20,Australia,10
6/1/20,Australia,19
6/2/20,Australia,8
6/3/20,Australia,11
6/4/20,Australia,7
6/5/20,Australia,5
6/6/20,Australia,7
6/7/20,Australia,6
6/8/20,Australia,2
6/9/20,Australia,7
6/10/20,Australia,11
6/11/20,Australia,4
6/12/20,Australia,5
6/13/20,Australia,26
6/14/20,Australia,15
6/15/20,Australia,12
6/16/20,Australia,23
6/17/20,Australia,21
6/18/20,Australia,18
6/19/20,Australia,2
6/20/20,Australia,50
6/21/20,Australia,13
6/22/20,Australia,18
6/23/20,Australia,29
6/24/20,Australia,37
6/25/20,Australia,37
6/26/20,Australia,6
6/27/20,Australia,85
6/28/20,Australia,78
6/29/20,Australia,70
6/30/20,Australia,86
7/1/20,Australia,81
7/2/20,Australia,65
7/3/20,Australia,194
7/4/20,Australia,183
7/5/20,Australia,140
7/6/20,Australia,172
7/7/20,Australia,131
7/8/20,Australia,170
7/9/20,Australia,318
7/10/20,Australia,179
7/11/20,Australia,244
7/12/20,Australia,183
7/13/20,Australia,271
7/14/20,Australia,236
7/15/20,Australia,323
7/16/20,Australia,423
7/17/20,Australia,208
7/18/20,Australia,361
7/19/20,Australia,267
7/20/20,Australia,359
7/21/20,Australia,466
7/22/20,Australia,408
7/23/20,Australia,293
