date,country,daily case,daily deaths,life lost
2020-01-22,Australia,0,0,0
2020-01-23,Australia,0,0,0
2020-01-24,Australia,0,0,0
2020-01-25,Australia,0,0,0
2020-01-26,Australia,4,0,0
2020-01-27,Australia,1,0,0
2020-01-28,Australia,0,0,0
2020-01-29,Australia,1,0,0
2020-01-30,Australia,3,0,0
2020-01-31,Australia,0,0,0
2020-02-01,Australia,3,0,0
2020-02-02,Australia,0,0,0
2020-02-03,Australia,0,0,0
2020-02-04,Australia,1,0,0
2020-02-05,Australia,0,0,0
2020-02-06,Australia,1,0,0
2020-02-07,Australia,1,0,0
2020-02-08,Australia,0,0,0
2020-02-09,Australia,0,0,0
2020-02-10,Australia,0,0,0
2020-02-11,Australia,0,0,0
2020-02-12,Australia,0,0,0
2020-02-13,Australia,0,0,0
2020-02-14,Australia,0,0,0
2020-02-15,Australia,0,0,0
2020-02-16,Australia,0,0,0
2020-02-17,Australia,0,0,0
2020-02-18,Australia,0,0,0
2020-02-19,Australia,0,0,0
2020-02-20,Australia,0,0,0
2020-02-21,Australia,0,0,0
2020-02-22,Australia,0,0,0
2020-02-23,Australia,0,0,0
2020-02-24,Australia,0,0,0
2020-02-25,Australia,0,0,0
2020-02-26,Australia,0,0,0
2020-02-27,Australia,0,0,0
2020-02-28,Australia,0,0,0
2020-02-29,Australia,10,0,0
2020-03-01,Australia,2,1,-1
2020-03-02,Australia,3,0,0
2020-03-03,Australia,9,0,0
2020-03-04,Australia,13,1,-1
2020-03-05,Australia,3,0,0
2020-03-06,Australia,5,0,0
2020-03-07,Australia,3,0,0
2020-03-08,Australia,13,1,-1
2020-03-09,Australia,15,0,0
2020-03-10,Australia,16,0,0
2020-03-11,Australia,21,0,0
2020-03-12,Australia,0,0,0
2020-03-13,Australia,72,0,0
2020-03-14,Australia,50,0,0
2020-03-15,Australia,47,0,0
2020-03-16,Australia,80,0,0
2020-03-17,Australia,75,2,-2
2020-03-18,Australia,116,1,-1
2020-03-19,Australia,113,0,0
2020-03-20,Australia,110,1,-1
2020-03-21,Australia,280,0,0
2020-03-22,Australia,478,0,0
2020-03-23,Australia,133,0,0
2020-03-24,Australia,362,1,-1
2020-03-25,Australia,320,0,0
2020-03-26,Australia,446,5,-5
2020-03-27,Australia,333,0,0
2020-03-28,Australia,497,1,-1
2020-03-29,Australia,344,2,-2
2020-03-30,Australia,377,1,-1
2020-03-31,Australia,198,1,-1
2020-04-01,Australia,303,2,-2
2020-04-02,Australia,254,4,-4
2020-04-03,Australia,214,4,-4
2020-04-04,Australia,220,2,-2
2020-04-05,Australia,137,5,-5
2020-04-06,Australia,110,5,-5
2020-04-07,Australia,98,5,-5
2020-04-08,Australia,115,5,-5
2020-04-09,Australia,98,1,-1
2020-04-10,Australia,107,3,-3
2020-04-11,Australia,88,3,-3
2020-04-12,Australia,12,3,-3
2020-04-13,Australia,36,1,-1
2020-04-14,Australia,64,1,-1
2020-04-15,Australia,25,1,-1
2020-04-16,Australia,22,0,0
2020-04-17,Australia,60,3,-3
2020-04-18,Australia,46,1,-1
2020-04-19,Australia,42,0,0
2020-04-20,Australia,13,0,0
2020-04-21,Australia,22,0,0
2020-04-22,Australia,7,0,0
2020-04-23,Australia,10,8,-8
2020-04-24,Australia,15,4,-4
2020-04-25,Australia,17,1,-1
2020-04-26,Australia,20,3,-3
2020-04-27,Australia,7,0,0
2020-04-28,Australia,23,6,-6
2020-04-29,Australia,8,2,-2
2020-04-30,Australia,14,2,-2
2020-05-01,Australia,12,0,0
2020-05-02,Australia,21,1,-1
2020-05-03,Australia,23,1,-1
2020-05-04,Australia,25,1,-1
2020-05-05,Australia,28,1,-1
2020-05-06,Australia,19,0,0
2020-05-07,Australia,19,0,0
2020-05-08,Australia,5,0,0
2020-05-09,Australia,21,0,0
2020-05-10,Australia,9,0,0
2020-05-11,Australia,22,0,0
2020-05-12,Australia,10,1,-1
2020-05-13,Australia,9,0,0
2020-05-14,Australia,30,0,0
2020-05-15,Australia,16,0,0
2020-05-16,Australia,9,0,0
2020-05-17,Australia,10,1,-1
2020-05-18,Australia,14,0,0
2020-05-19,Australia,4,1,-1
2020-05-20,Australia,9,0,0
2020-05-21,Australia,14,1,-1
2020-05-22,Australia,4,0,0
2020-05-23,Australia,15,1,-1
2020-05-24,Australia,0,0,0
2020-05-25,Australia,12,0,0
2020-05-26,Australia,13,1,-1
2020-05-27,Australia,11,0,0
2020-05-28,Australia,15,0,0
2020-05-29,Australia,19,0,0
2020-05-30,Australia,8,0,0
2020-05-31,Australia,10,0,0
2020-06-01,Australia,19,0,0
2020-06-02,Australia,8,0,0
2020-06-03,Australia,11,0,0
2020-06-04,Australia,7,0,0
2020-06-05,Australia,5,0,0
2020-06-06,Australia,7,0,0
2020-06-07,Australia,6,0,0
2020-06-08,Australia,2,0,0
2020-06-09,Australia,7,0,0
2020-06-10,Australia,11,0,0
2020-06-11,Australia,4,0,0
2020-06-12,Australia,5,0,0
2020-06-13,Australia,26,0,0
