continent,location,last_updated_date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_vaccinations,people_fully_vaccinated,people_fully_vaccinated_per_hundred,population
Asia,Afghanistan,8/10/21,155448,7221,3902.255,181.271,2369625,,,39835428
,Africa,8/10/21,8380407,213531,6101.558,155.466,159686591,63698720,4.64,1373486472
Europe,Albania,8/10/21,174168,2753,60623.739,958.254,1783984,825110,28.72,2872934
Africa,Algeria,8/10/21,204388,5846,4580.983,131.027,14082920,4032942,9.04,44616626
Europe,Andorra,8/10/21,15291,130,197675.621,1680.585,102032,47720,61.69,77354
Africa,Angola,8/10/21,61023,1613,1798.306,47.534,3134137,1006732,2.97,33933611
North America,Anguilla,1/10/21,,,,,18704,9156,60.54,15125
North America,Antigua and Barbuda,8/10/21,3678,91,37253.869,921.724,97831,43873,44.44,98728
South America,Argentina,8/10/21,5265058,115444,115447.056,2531.343,53660061,23562958,51.67,45605823
Asia,Armenia,8/10/21,269874,5499,90923.976,1852.683,408535,143840,4.85,2968128
North America,Aruba,8/10/21,,,,,157355,75594,70.52,107195
,Asia,8/10/21,76889805,1140531,16430.637,243.721,4356210192,1787331488,38.19,4679660580
Oceania,Australia,8/10/21,125081,1421,4850.316,55.103,30304350,12718560,49.32,25788217
Europe,Austria,8/10/21,757675,11084,83785.134,1225.69,10940556,5473580,60.53,9043072
Asia,Azerbaijan,8/10/21,490130,6638,47942.239,649.298,8923055,4059419,39.71,10223344
North America,Bahamas,8/10/21,21580,590,54369.46,1486.468,224531,100098,25.22,396914
Asia,Bahrain,8/10/21,275538,1390,157603.837,795.06,2645484,1127282,64.48,1748295
Asia,Bangladesh,8/10/21,1561463,27654,9389.237,166.286,53089129,17710759,10.65,166303494
North America,Barbados,8/10/21,10383,88,36088.673,305.866,249944,109785,38.16,287708
Europe,Belarus,8/10/21,553795,4259,58646.913,451.028,3862369,1627673,17.24,9442867
Europe,Belgium,8/10/21,1261102,25675,108413.496,2207.21,16680688,8451042,72.65,11632334
North America,Belize,8/10/21,22187,427,54794.216,1054.542,344463,144531,35.69,404915
Africa,Benin,8/10/21,24335,159,1954.457,12.77,247674,21405,0.17,12451031
North America,Bermuda,8/10/21,,,,,87723,43150,69.49,62092
Asia,Bhutan,8/10/21,2613,3,3350.43,3.847,1083271,498294,63.89,779900
South America,Bolivia,8/10/21,503022,18780,42510.329,1587.096,6931689,3465762,29.29,11832936
Europe,Bosnia and Herzegovina,8/10/21,240094,10863,73570.405,3328.677,1242203,508008,15.57,3263459
Africa,Botswana,8/10/21,180438,2376,75269.059,991.14,690001,245559,10.24,2397240
South America,Brazil,8/10/21,21550730,600425,100707.432,2805.81,246835990,97624430,45.62,213993441
North America,British Virgin Islands,1/10/21,,,,,32930,15360,50.49,30423
Asia,Brunei,8/10/21,8464,62,19169.619,140.42,526193,206482,46.76,441532
Europe,Bulgaria,8/10/21,518995,21586,75253.148,3129.923,2585160,1359501,19.71,6896655
Africa,Burkina Faso,8/10/21,14434,195,671.439,9.071,,,,21497097
Africa,Burundi,8/10/21,19041,38,1553.679,3.101,,,,12255429
Asia,Cambodia,8/10/21,114351,2459,6747.787,145.104,24448071,11136261,65.71,16946446
Africa,Cameroon,8/10/21,95399,1517,3504.19,55.722,469341,84284,0.31,27224262
North America,Canada,8/10/21,1663716,28239,43703.893,741.806,56959295,27362144,71.88,38067913
Africa,Cape Verde,8/10/21,37845,346,67351.722,615.767,420246,142748,25.4,561901
North America,Cayman Islands,8/10/21,,,,,108614,55530,83.51,66498
Africa,Central African Republic,8/10/21,11401,100,2317.283,20.325,207004,9901,0.2,4919987
Africa,Chad,8/10/21,5058,174,299.025,10.287,154042,30616,0.18,16914985
South America,Chile,8/10/21,1660372,37542,86422.065,1954.054,33194071,14207498,73.95,19212362
Asia,China,8/10/21,96451,4636,66.784,3.21,2218826000,1047872000,72.56,1444216102
South America,Colombia,8/10/21,4969131,126552,96928.694,2468.544,42039612,17865559,34.85,51265841
Africa,Comoros,8/10/21,4161,147,4683.406,165.456,352635,162098,18.24,888456
Africa,Congo,8/10/21,14833,206,2622.053,36.415,372046,118320,2.09,5657017
Oceania,Cook Islands,5/10/21,,,,,22536,11132,63.35,17572
North America,Costa Rica,8/10/21,544021,6612,105860.165,1286.618,5760293,2290280,44.57,5139053
Africa,Cote d'Ivoire,8/10/21,60691,657,2243.359,24.285,2433705,,,27053629
Europe,Croatia,8/10/21,415356,8752,101761.613,2144.227,3475957,1718074,42.09,4081657
North America,Cuba,8/10/21,911337,7777,80524.6,687.166,22116160,5606045,49.53,11317498
North America,Curacao,8/10/21,,,,,188290,89916,54.56,164796
Europe,Cyprus,8/10/21,120992,558,135034.961,622.764,1176888,560123,62.51,896005
Europe,Czechia,8/10/21,1698061,30496,158333.965,2843.568,11863457,5998857,55.94,10724553
Africa,Democratic Republic of Congo,8/10/21,57126,1086,618.394,11.756,136094,36255,0.04,92377986
Europe,Denmark,8/10/21,364626,2671,62722.7,459.463,8797923,4383736,75.41,5813302
Africa,Djibouti,8/10/21,13179,174,13150.109,173.619,92097,26087,2.6,1002197
North America,Dominica,8/10/21,3948,26,54702.655,360.251,48091,21797,30.2,72172
North America,Dominican Republic,8/10/21,364252,4065,33253.744,371.107,12072407,4956157,45.25,10953714
South America,Ecuador,8/10/21,511699,32836,28604.955,1835.595,20896804,9918613,55.45,17888474
Africa,Egypt,8/10/21,310745,17619,2980.529,168.994,16959764,5845818,5.61,104258327
North America,El Salvador,8/10/21,107664,3357,16516.683,514.996,7891779,3544315,54.37,6518500
Africa,Equatorial Guinea,8/10/21,12657,154,8729.622,106.215,403814,171698,11.84,1449891
Africa,Eritrea,8/10/21,6737,42,1870.629,11.662,,,,3601462
Europe,Estonia,8/10/21,162735,1391,122801.444,1049.662,1385684,621006,46.86,1325188
Africa,Eswatini,8/10/21,46255,1227,39454.302,1046.599,248985,210432,17.95,1172369
Africa,Ethiopia,8/10/21,353425,5921,2998.272,50.231,3851109,907568,0.77,117876226
,Europe,8/10/21,60551949,1245000,80979.151,1665.001,813382929,397812747,53.2,747747396
,European Union,8/10/21,38363236,776919,85787.346,1737.336,573299618,284028161,63.51,447189915
Europe,Faeroe Islands,8/10/21,,,,,75360,36713,74.84,49053
Oceania,Fiji,8/10/21,51426,653,56956.537,723.226,1055883,462441,51.22,902899
Europe,Finland,8/10/21,145679,1096,26256.222,197.536,7742817,3587383,64.66,5548361
Europe,France,8/10/21,7147186,117895,105783.545,1744.932,95934740,44927078,66.5,67564251
Oceania,French Polynesia,5/10/21,,,,,294961,141882,50.22,282534
Africa,Gabon,8/10/21,31584,197,13859.75,86.448,186365,80462,3.53,2278829
Africa,Gambia,8/10/21,9939,338,3996.482,135.91,208379,171987,6.92,2486937
