Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType
2/1/17,99516,Riverstone,2765,950000,5,2,4,house
2/1/17,99517,Riverstone,2765,796000,4,2,2,house
3/1/17,18525,Wattle Grove,2173,840000,3,1,2,house
3/1/17,25345,Revesby Heights,2212,1130000,4,2,2,house
3/1/17,35120,Ermington,2115,1450000,5,3,2,duplex/semi-detached
3/1/17,41720,Raby,2566,597000,3,1,1,house
3/1/17,49796,Pemulwuy,2145,889950,4,2,3,house
3/1/17,62507,Lilyfield,2040,2215000,4,4,,house
3/1/17,66164,Wilton,2571,870000,4,2,2,house
3/1/17,89705,Auburn,2144,670000,3,3,1,townhouse
3/1/17,89706,Auburn,2144,670000,3,3,2,townhouse
3/1/17,116168,Glenwood,2768,948000,4,2,2,house
3/1/17,119263,Whalan,2770,490000,3,1,,house
3/1/17,134220,Longueville,2066,2610000,4,2,1,house
3/1/17,148526,Northbridge,2063,1750000,3,2,2,house
3/1/17,153439,Baulkham Hills,2153,975000,4,2,1,house
3/1/17,167878,Toongabbie,2146,720000,2,1,2,house
3/1/17,187298,Canley Heights,2166,870000,5,1,1,house
3/1/17,187299,Cabramatta,2166,615000,3,1,1,townhouse
3/1/17,194706,West Hoxton,2171,580000,3,2,1,townhouse
4/1/17,1961,Marayong,2148,795500,3,2,2,house
4/1/17,19593,Beacon Hill,2100,1639000,4,3,1,house
4/1/17,34245,Castle Hill,2154,1320000,4,2,2,house
4/1/17,59339,Willoughby,2068,2058000,3,3,,house
4/1/17,85803,Seven Hills,2147,665000,4,1,,house
4/1/17,89704,Auburn,2144,760000,4,1,1,house
4/1/17,99513,Box Hill,2765,963200,4,3,2,house
4/1/17,99514,Box Hill,2765,949400,4,3,2,house
4/1/17,99515,Box Hill,2765,851900,3,2,2,house
4/1/17,103533,Merrylands,2160,595000,2,1,1,house
4/1/17,116167,Stanhope Gardens,2768,875000,3,2,2,house
4/1/17,119262,Mount Druitt,2770,498000,3,1,2,townhouse
4/1/17,143542,Fairfield West,2165,810000,4,2,1,house
4/1/17,163590,Castle Cove,2069,3250000,4,3,2,house
4/1/17,174953,Glossodia,2756,725000,4,2,2,house
5/1/17,17712,Penshurst,2222,495000,1,1,1,villa
5/1/17,41719,Minto,2566,760000,4,2,2,house
5/1/17,42559,Granville,2142,495000,2,2,1,house
5/1/17,103254,Merrylands,2160,955000,3,1,2,house
5/1/17,103255,Merrylands,2160,500000,2,2,2,house
5/1/17,119784,Beverly Hills,2209,1865000,5,3,2,house
5/1/17,126440,Roselands,2196,950000,4,3,2,townhouse
5/1/17,158824,Beaumont Hills,2155,1200000,4,3,3,house
5/1/17,189759,Busby,2168,675000,4,1,1,house
6/1/17,4129,Dean Park,2761,641500,3,2,2,house
6/1/17,4130,Dean Park,2761,638500,3,1,2,house
6/1/17,6234,Eagle Vale,2558,690000,3,2,2,house
6/1/17,12973,Woolooware,2230,1220000,3,1,1,villa
6/1/17,42558,Granville,2142,680000,3,2,2,townhouse
6/1/17,72939,Croydon Park,2133,1180000,3,2,2,house
6/1/17,89702,Auburn,2144,805000,3,1,1,house
6/1/17,89703,Auburn,2144,730000,3,1,1,townhouse
6/1/17,103532,Merrylands,2160,955000,3,1,4,house
6/1/17,119261,Mount Druitt,2770,440000,3,1,2,villa
6/1/17,126439,Punchbowl,2196,615000,2,2,2,other
6/1/17,129938,Paddington,2021,2425000,3,1,,house
6/1/17,155121,Peakhurst,2210,1000000,3,2,1,house
7/1/17,17633,Penshurst,2222,1970000,5,4,2,house
