﻿Suburb,Avg_SellPrice
Abbotsbury,1080546.30
Abbotsford,1942397.44
Agnes Banks,829192.31
Airds,523855.36
Alexandria,1632451.05
Alfords Point,1287117.65
Allambie Heights,1664814.81
Allawah,1335400.00
Ambarvale,565250.74
Annandale,1896147.65
Annangrove,2705670.45
Appin,800482.14
Arcadia,1982805.56
Arncliffe,1277159.94
Artarmon,2043932.31
Ashbury,1649604.84
Ashcroft,661015.15
Ashfield,1564547.73
Asquith,1219657.81
Auburn,926696.19
Auburn South,790000.00
Austral,1037411.06
Avalon Beach,1926458.71
Badgerys Creek,3300000.00
Balgowlah,1964462.60
Balgowlah Heights,2925699.92
Balmain,2029022.58
Balmain East,2822153.85
Balmoral,793644.44
Bangor,1094782.65
Banksia,1173271.74
Bankstown,992042.48
Bar Point,619600.00
Barden Ridge,1226863.64
Bardia,787911.64
Bardwell Park,1342437.50
Bardwell Valley,1094388.89
Bargo,747172.81
Bass Hill,848653.49
Baulkham Hills,1118598.03
Bayview,2484892.18
Beacon Hill,1522296.28
Beaconsfield,1350421.05
Beaumont Hills,1191047.69
Beecroft,1857160.93
Belfield,1129461.54
Belimbla Park,1291420.00
Bella Vista,1772745.20
Bellevue Hill,6678150.60
Belmore,1121823.48
Belrose,1578885.01
Benowa,1650000.00
Berala,945187.95
Berkshire Park,1700000.00
Berowra,1150792.45
Berowra Heights,1048050.54
Berowra Waters,690636.36
Beverley Park,1537659.09
Beverly Hills,1265281.97
Bexley,1124585.55
Bexley North,1280962.26
Bidwill,483770.27
Bilgola Beach,3681666.67
Bilgola Plateau,1666661.99
Birchgrove,2290236.11
Birrong,881077.59
Blackett,528030.78
Blacktown,728312.80
Blair Athol,720090.91
Blairmount,622625.00
Blakehurst,1837195.45
Bligh Park,654097.32
Bondi,3039137.25
Bondi Beach,2816421.88
Bondi Junction,2228135.70
Bonnet Bay,1200112.90
Bonnyrigg,771067.28
Bonnyrigg Heights,867425.71
Bossley Park,861849.99
Botany,1398062.05
Bow Bowing,667486.82
Bowen Mountain,667122.45
Box Hill,901488.69
Bradbury,579842.97
Breakfast Point,3609714.29
Brighton-Le-Sands,1459905.80
Bringelly,2581000.00
Bronte,4044916.67
Brooklyn,1108227.27
Brookvale,1274660.00
Brownlow Hill,2080000.00
Brunswick East,620000.00
Bundeena,1157381.94
Burraneer,2479276.60
Burwood,2179546.51
Burwood Heights,2140500.00
Busby,659656.25
Buxton,650830.78
Cabarita,2917142.86
Cabramatta,822918.92
Cabramatta West,908848.48
Camden,759735.73
Camden Park,973656.25
Camden South,697074.30
Cammeray,2288545.08
Campbelltown,617622.31
Camperdown,1540471.83
Campsie,1318420.56
Canada Bay,1664965.52
Canley Heights,911977.48
Canley Vale,836547.35
Canoelands,1400000.00
Canterbury,1227254.90
Caringbah,1146481.59
Caringbah South,1577545.45
Carlingford,1411061.52
Carlton,1262031.82
Carnes Hill,892371.41
Carramar,677962.50
Carss Park,1563272.00
Cartwright,683788.46
Castle Cove,3134437.10
Castle Hill,1489769.82
Castlecrag,3025754.10
Casula,773828.94
Catherine Field,1658142.86
