Suburb,Latitude,Longitude,Avg_SellPrice
Nelson,-33.647829,150.921336,190000
Bidwill,-33.731948,150.823408,483770.27
Willmot,-33.724722,150.793889,485604.65
Tregear,-33.748696,150.795757,496018.03
Lethbridge Park,-33.738604,150.80145,503400.83
Emerton,-33.747702,150.804361,514218.75
Airds,-34.09,150.826111,523855.36
Blackett,-33.737223,150.815,528030.78
Whalan,-33.756667,150.809444,529564.71
Shalvey,-33.727778,150.806667,541219.12
Englorie Park,-34.080658,150.795063,554857.14
Hebersham,-33.745574,150.825384,555916.65
Ambarvale,-34.084425,150.801748,565250.74
Macquarie Fields,-33.990448,150.88493,575275.67
Bradbury,-34.081667,150.817778,579842.97
Oxley Park,-33.770556,150.795,579941
Dharruk,-33.748056,150.814722,582552.7
North St Marys,-33.754444,150.785833,583356.45
St Helens Park,-34.106667,150.809444,585242.95
Rosemeadow,-34.106667,150.792778,587985.87
Milsons Passage,-33.515761,151.176824,590000
Eschol Park,-34.031667,150.801111,594263.3
Gilead,-34.115,150.784444,595000
Eagle Vale,-34.037778,150.811111,595764.53
Hobartville,-33.604718,150.743615,599272.73
Ruse,-34.073317,150.846333,604901.53
Leumeah,-34.054311,150.837135,607244.89
Lower Portland,-33.980791,151.117677,608071.43
Warwick Farm,-33.915,150.934444,614725
Campbelltown,-34.063691,150.820616,617622.31
St Marys,-33.76502,150.767778,617624.22
South Windsor,-33.630278,150.804167,620323.53
Blairmount,-34.048333,150.792778,622625
Mount Druitt,-33.770556,150.820556,623419.28
St Andrews,-34.020833,150.830556,624822.7
Colyton,-33.782222,150.795833,627729.9
Ingleburn,-33.998333,150.851111,633111.37
Jamisontown,-33.767977,150.674815,633229.59
Raby,-34.023333,150.817778,633326.16
Minto,-34.031667,150.851111,641963.56
Oakhurst,-33.737222,150.834722,648381.51
Dean Park,-33.73283,150.852577,648572.79
Bligh Park,-33.638333,150.798056,654097.32
Heckenberg,-33.907778,150.891389,656888.89
Kearns,-34.023333,150.801111,658250
Plumpton,-33.756667,150.842778,658999.66
Currans Hill,-34.046352,150.771246,659392.23
Woodbine,-34.046837,150.824271,659621.48
Busby,-33.915,150.884444,659656.25
Sadleir,-33.916944,150.890278,660602.04
Ashcroft,-33.915,150.901111,661015.15
Penrith,-33.751079,150.694168,665953.43
Bow Bowing,-34.016146,150.840561,667486.82
South Penrith,-33.772521,150.698262,667893.73
Richmond,-33.600972,150.749641,671407.52
Hassall Grove,-33.731667,150.834444,675872.55
Carramar,-33.883889,150.963611,677962.5
Lalor Park,-33.764994,150.928883,679352.66
Ropes Crossing,-33.729195,150.778889,683306.52
Glenfield,-33.973346,150.895722,683748.42
Cartwright,-33.925086,150.891355,683788.46
Marayong,-33.749167,150.891944,684022.32
Glendenning,-33.748333,150.851111,684571.85
Lurnea,-33.935833,150.897222,689056.18
Narellan Vale,-34.052418,150.744673,689477.03
Berowra Waters,-33.599418,151.122952,690636.36
Camden South,-34.082955,150.696647,697074.3
Gregory Hills,-34.027667,150.776192,697369.7
Spring Farm,-34.069444,150.727228,705631.46
Mount Pritchard,-33.902719,150.903149,706691.36
Glossodia,-33.533443,150.785396,710051.52
Miller,-33.920556,150.880556,710258.06
Claymore,-34.046944,150.81,710503.8
Blair Athol,-34.062778,150.799722,720090.91
Emu Heights,-33.737224,150.651105,722997.29
Blacktown,-33.773988,150.903619,728312.8
Hammondville,-33.951152,150.960862,732648.04
Hoxton Park,-33.929402,150.856016,735463.86
Elderslie,-34.059029,150.715403,738681.95
Hinchinbrook,-33.915966,150.864596,739358.31
Liverpool,-33.919825,150.92566,742573.33
Kings Park,-33.743333,150.908611,743580.65
Woodpark,-33.841383,150.960278,744316.67
Minchinbury,-33.786673,150.827222,745649.58
Mount Annan,-34.07828,150.76323,746644.63
Yennora,-33.862008,150.96861,746888.89
Windsor,-33.605534,150.821953,747250
Emu Plains,-33.748333,150.667778,752437.86
Merrylands West,-33.83595,150.968126,752970.59
Camden,-34.053232,150.696171,759735.73
Green Valley,-33.90246,150.867419,761627.82
Old Guildford,-33.863611,150.984444,761666.67
Prospect,-33.800242,150.921838,766168.31
Wakeley,-33.873611,150.908611,768743.9
Smithfield,-33.847822,150.940874,769781.55
Fairfield West,-33.868931,150.924338,770713.5
Bonnyrigg,-33.89367,150.888281,771067.28
Casula,-33.952222,150.895278,773828.94
Seven Hills,-33.776031,150.942704,774492.61
Fairfield,-33.872807,150.952353,779505.81
McGraths Hill,-33.615,150.834444,779895.39
South Granville,-33.857778,151.010556,780636.36
Glenmore Park,-33.788797,150.669496,782037.18
Villawood,-33.885724,150.983751,782569.61
Marsden Park,-33.695655,150.814798,783182.86
Horningsea Park,-33.94608,150.843227,785469.23
Prestons,-33.941515,150.874746,786666.78
Oran Park,-33.994881,150.740257,787397.73
Lansvale,-33.900399,150.951078,787796.3
Bardia,-33.976395,150.860433,787911.64
Guildford West,-33.848308,150.965742,790175.06
Grose Wold,-33.603011,150.674518,792500
Toongabbie,-33.786689,150.95265,795335.53
Fairfield East,-33.874742,150.97213,801863.64
Fairfield Heights,-33.866281,150.939511,807140.48
Regentville,-33.770835,150.661662,809909.09
Wentworth Point,-33.826896,151.077435,810000
Gledswood Hills,-34.010283,150.78002,814757.23
Riverstone,-33.679755,150.86167,820350.53
Cabramatta,-33.898319,150.93445,822918.92
Granville,-33.83451,151.006011,822921.87
Chester Hill,-33.881667,151.001111,826852.59
Wetherill Park,-33.848333,150.901111,826922.44
Pendle Hill,-33.798331,150.959439,827006.56
Old Toongabbie,-33.785855,150.969953,828636.18
Agnes Banks,-33.614508,150.711448,829192.31
Guildford,-33.856105,150.993923,829684.72
Greenfield Park,-33.875278,150.891944,832761.21
Girraween,-33.798331,150.942771,836002.88
Canley Vale,-33.887136,150.946234,836547.35
Wiley Park,-33.923056,151.067778,838985.29
Middleton Grange,-33.914715,150.842388,840298.59
Sefton,-33.887309,151.010626,846309.61
Bass Hill,-33.898625,150.997448,848653.49
Holsworthy,-33.959731,150.950272,849890.45
Constitution Hill,-33.795208,150.972781,850641.07
South Wentworthville,-33.82134,150.968748,851718.91
Edmondson Park,-33.962834,150.856329,854441.66
Leonay,-33.765006,150.651105,858773.26
Vineyard,-33.648333,150.867778,859076.92
Leppington,-33.954386,150.808064,859179.57
Bossley Park,-33.862222,150.884444,861849.99
Edensor Park,-33.880285,150.87626,862403.95
Freemans Reach,-33.563231,150.802469,863820
Wattle Grove,-33.956401,150.940586,864504.64
West Hoxton,-33.931667,150.834444,864780.84
Bonnyrigg Heights,-33.89121,150.86958,867425.71
St Johns Park,-33.881667,150.901111,869848
Yagoona,-33.903791,151.017668,880586.2
Birrong,-33.891862,151.020196,881077.59
Parklea,-33.725,150.916111,881998.23
Greystanes,-33.826219,150.941438,882472.53
Prairiewood,-33.863174,150.905507,882857.14
Holroyd,-33.829716,150.99749,883333.33
Punchbowl,-33.928717,151.052259,886576.92
Glen Alpine,-34.09,150.784444,889842.47
Carnes Hill,-33.937829,150.85046,892371.41
Wilberforce,-33.556667,150.834444,894830.19
Cowan,-33.58883,151.169857,898600
Box Hill,-33.6425,150.898889,901488.69
Milperra,-33.938824,150.984642,902714
Great Mackerel Beach,-33.591505,151.298885,905000
Merrylands,-33.835077,150.986038,907036.39
Cabramatta West,-33.891695,150.914639,908848.48
Stanhope Gardens,-33.710284,150.925828,911731.74
Canley Heights,-33.881667,150.926111,911977.48
Moorebank,-33.933263,150.949686,920838.97
Auburn,-33.85457,151.025567,926696.19
Macquarie Park,-33.781496,151.125675,927722.22
Denham Court,-33.981389,150.829444,931300.76
Kings Langley,-33.750551,150.937217,934060
Condell Park,-33.922785,151.011314,935239.23
Silverwater,-33.834881,151.047122,937095.24
Waterfall,-34.134769,150.993133,940000
Regents Park,-33.882005,151.02569,941578.95
Cecil Hills,-33.89,150.851111,943521.38
Georges Hall,-33.910111,150.987992,944706.1
Berala,-33.875394,151.034325,945187.95
Wentworthville,-33.806667,150.967778,950225.61
Cobbitty,-33.896256,151.10072,954746.77
Harrington Park,-34.024733,150.742234,961146.84
Macquarie Links,-33.981667,150.873333,963125
Heathcote,-34.084827,151.007392,964242.97
Sutherland,-34.031259,151.056764,964618.88
Chipping Norton,-33.919687,150.963071,971261.14
Greenacre,-33.90229,151.058546,971271.16
Engadine,-34.065013,151.013823,972224.02
Revesby,-33.943688,151.013719,978859.61
Pemulwuy,-33.816464,150.928444,978925.87
Panania,-33.953257,150.996887,979553.93
Northmead,-33.784442,150.998329,980883.69
Padstow Heights,-33.970403,151.033026,982735.29
Padstow,-33.948777,151.030116,983200.8
Dangar Island,-33.538708,151.239494,983928.57
Rosehill,-33.826389,151.030556,991343.75
Bankstown,-33.91719,151.033588,992042.48
Luddenham,-33.877983,150.690115,994714.29
Elizabeth Hills,-33.900229,150.848794,1010200
Colebee,-33.727008,150.852178,1017536.36
Loftus,-34.043436,151.050456,1017817.57
Glenwood,-33.733148,150.928232,1024333.55
Revesby Heights,-33.968384,151.018989,1031442.31
Narwee,-33.945556,151.069444,1031695.39
Kellyville Ridge,-33.7025,150.918611,1033908.59
Menai,-34.014811,151.016482,1034850.65
Austral,-33.928267,150.808282,1037411.06
Winston Hills,-33.77611,150.981661,1047619.92
Berowra Heights,-33.609578,151.137322,1048050.54
Ramsgate Beach,-33.982401,151.146148,1053062.5
Kirrawee,-34.034478,151.072643,1054513.92
Mount Kuring-Gai,-33.653064,151.136886,1054612.9
North Kellyville,-33.685949,150.953584,1055038.46
North Parramatta,-33.795275,151.011665,1057184.25
Yarrawarrah,-34.056681,151.030888,1063793.02
Westmead,-33.80765,150.987727,1072951.61
East Hills,-33.960853,150.987919,1080513.51
Abbotsbury,-33.869285,150.866703,1080546.3
Meadowbank,-33.817499,151.088425,1080666.67
Peakhurst,-33.961644,151.059067,1084206.95
Riverwood,-33.947222,151.053056,1087335.93
Bardwell Valley,-33.937452,151.130434,1094388.89
Bangor,-34.015503,151.033487,1094782.65
Sandy Point,-33.975407,150.99392,1097000
Parramatta,-33.817511,151.005401,1107073.33
Roselands,-33.933994,151.076512,1107977
Brooklyn,-33.546913,151.226525,1108227.27
Dundas,-33.802949,151.044059,1110264.56
Coasters Retreat,-33.60481,151.298804,1118333.33
Baulkham Hills,-33.76112,150.991404,1118598.03
Gymea,-34.034145,151.085653,1119139.21
Marsfield,-33.777796,151.103202,1120467.72
Belmore,-33.919407,151.087894,1121823.48
Rouse Hill,-33.677494,150.916093,1123768.69
Bexley,-33.952354,151.118143,1124585.55
Yarramundi,-33.631817,150.667996,1125000
Belfield,-33.904517,151.086001,1129461.54
Mount Colah,-33.671969,151.114529,1129705.83
Lakemba,-33.919631,151.074924,1129801.89
Picnic Point,-33.970956,151.007239,1142856.6
Caringbah,-34.035448,151.124802,1146481.59
Berowra,-33.626426,151.147388,1150792.45
Voyager Point,-33.958615,150.973889,1154714.29
Bundeena,-34.084544,151.151235,1157381.94
Telopea,-33.793922,151.040944,1161852.07
Ebenezer,-33.516629,150.887443,1162961.54
Hornsby Heights,-33.658988,151.098374,1165472.04
Woronora Heights,-34.034387,151.027167,1167309.52
Elvina Bay,-33.637753,151.280249,1168333.33
Kareela,-34.015755,151.081266,1170941.13
Banksia,-33.944865,151.140207,1173271.74
Lidcombe,-33.863065,151.045677,1181523.47
Dundas Valley,-33.793674,151.055907,1181665.97
Mays Hill,-33.820576,150.988492,1182211.2
Rydalmere,-33.811709,151.04117,1190499.03
Miranda,-34.033543,151.103719,1190570.69
Beaumont Hills,-33.699722,150.940556,1191047.69
Tempe,-33.924755,151.164753,1192974.74
Mortdale,-33.9673,151.072187,1197502.02
Bonnet Bay,-34.010109,151.053572,1200112.9
Wallacia,-33.865334,150.640977,1202883.33
Woronora,-34.116496,150.95228,1204631.58
Hornsby,-33.698033,151.095733,1205007.39
North Rocks,-33.771305,151.020996,1210245.68
Sydenham,-33.914743,151.166107,1212464.82
Asquith,-33.687194,151.111026,1219657.81
Penshurst,-33.964829,151.084953,1221109.55
South Hurstville,-33.977721,151.106055,1223772.22
Minto Heights,-34.037941,150.871527,1225000
Barden Ridge,-34.031173,151.010527,1226863.64
Canterbury,-33.913023,151.117015,1227254.9
Turrella,-33.930271,151.140923,1227425.93
Kogarah,-33.968226,151.135451,1234900
Lane Cove West,-33.81194,151.150078,1235000
Peakhurst Heights,-33.976887,151.054404,1235391.79
Ermington,-33.810116,151.060056,1235908.33
Londonderry,-33.648333,150.734444,1240066.67
Dolls Point,-33.993611,151.144722,1247100
Sackville,-33.497145,150.882901,1250000
Carlton,-33.97079,151.12137,1262031.82
Maianbar,-34.078341,151.130357,1262500
Grose Vale,-33.576415,150.655296,1265000
Beverly Hills,-33.949744,151.081734,1265281.97
Kurnell,-34.022238,151.188056,1265511.11
Sylvania,-34.014121,151.098816,1266398.81
Potts Hill,-33.892219,151.032922,1267111.11
Mulgoa,-33.837156,150.650401,1268785.71
Rockdale,-33.954262,151.140366,1270136.36
Brookvale,-33.762885,151.270702,1274660
Arncliffe,-33.938236,151.145508,1277159.94
Bexley North,-33.942537,151.115208,1280962.26
St Peters,-33.915947,151.176332,1281728.81
Como,-34.003218,151.063126,1283643.88
Alfords Point,-33.983909,151.024162,1287117.65
Kingsgrove,-33.937184,151.099652,1288375.66
Scotland Island,-33.639746,151.291175,1290560
Hillsdale,-33.952947,151.227412,1299708.33
South Maroota,-33.512778,150.952222,1300000
Liberty Grove,-33.841389,151.083889,1303240.67
Strathfield South,-33.896667,151.078889,1316717.76
Campsie,-33.914389,151.103213,1318420.56
Pitt Town Bottoms,-33.58723,150.844983,1320000
Lugarno,-33.982396,151.045019,1328377.05
Westleigh,-33.715,151.067778,1330659.41
Normanhurst,-33.723865,151.097735,1331110.68
Waterloo,-33.900276,151.207314,1331650
Clemton Park,-33.925832,151.102908,1332065.22
Allawah,-33.969629,151.114285,1335400
Ellis Lane,-34.034956,150.673258,1337923.08
Bardwell Park,-33.935556,151.123889,1342437.5
Beaconsfield,-33.911469,151.200315,1350421.05
Oatlands,-33.797339,151.025653,1353239.19
Gymea Bay,-34.052292,151.097078,1354467.88
Ramsgate,-33.982713,151.139931,1361222.22
Pitt Town,-33.584653,150.870981,1366526.32
Illawong,-33.997335,151.042973,1367005.43
Waitara,-33.709445,151.105558,1371954.55
Oyster Bay,-34.003278,151.081235,1372518.18
Newington,-33.83423,151.055872,1382655.17
Sans Souci,-33.992629,151.133797,1385168.2
Erskineville,-33.902172,151.185988,1389104.86
Mascot,-33.928956,151.195178,1389907.72
Botany,-33.947829,151.199064,1398062.05
Canoelands,-33.499095,151.080742,1400000
Hurlstone Park,-33.91,151.128611,1405401.41
Carlingford,-33.774495,151.047522,1411061.52
Pennant Hills,-33.738466,151.071664,1413427.35
Earlwood,-33.924722,151.131389,1423304.58
Croydon Park,-33.897532,151.102464,1426064.21
Cherrybrook,-33.722778,151.046111,1434925.25
Enfield,-33.890063,151.095915,1435475
Wedderburn,-34.148333,150.817778,1445000
Galston,-33.6467,151.06425,1451391.89
Grays Point,-34.059145,151.0787,1453000
Eastlakes,-33.931073,151.211367,1454705.26
Marrickville,-33.910385,151.155691,1459252.11
Brighton-Le-Sands,-33.958095,151.152605,1459905.8
Eastgardens,-33.944766,151.225092,1466468.75
Warriewood,-33.690306,151.294272,1467745.12
Lewisham,-33.895387,151.146645,1473351.35
Pleasure Point,-33.9725,150.987778,1476571.43
Hurstville,-33.960707,151.100361,1478260.8
Petersham,-33.894506,151.155422,1478521.13
Enmore,-33.899697,151.170986,1487758.33
Castle Hill,-33.731532,151.007172,1489769.82
Monterey,-33.972014,151.148039,1490301.73
Long Point,-34.015658,150.898318,1497500
Narraweena,-33.750207,151.274157,1497921.88
Daceyville,-33.928933,151.225184,1511250
Leichhardt,-33.881933,151.155867,1515054.35
Denistone West,-33.800574,151.076764,1517066.67
Dulwich Hill,-33.904585,151.138609,1518738.85
Varroville,-34.006667,150.817778,1520000
Beacon Hill,-33.751787,151.260083,1522296.28
Maroota,-33.457796,150.982919,1525000
West Ryde,-33.809444,151.085833,1531384.21
Beverley Park,-33.9788,151.131629,1537659.09
Camperdown,-33.889612,151.180099,1540471.83
Denistone,-33.798907,151.0887,1543411.76
Woolooware,-34.044841,151.140172,1549074.07
North Narrabeen,-33.70098,151.293643,1554027.45
